TAX,ASSESSED
COUNTY,43600
VILLAGE,43600
SCHOOL,43600
COUNTY,27900
VILLAGE,27900
SCHOOL,26070
COUNTY,26725
VILLAGE,26725
SCHOOL,26725
COUNTY,18000
VILLAGE,18000
SCHOOL,18000
COUNTY,26000
VILLAGE,26000
SCHOOL,26000
COUNTY,24200
VILLAGE,24200
SCHOOL,22370
COUNTY,22025
VILLAGE,22025
SCHOOL,22025
COUNTY,38700
VILLAGE,38700
SCHOOL,36870
COUNTY,24900
VILLAGE,24900
SCHOOL,24900
COUNTY,13000
VILLAGE,13000
SCHOOL,11170
COUNTY,10300
VILLAGE,10300
SCHOOL,10300
COUNTY,34450
VILLAGE,34450
SCHOOL,34450
COUNTY,39000
VILLAGE,39000
SCHOOL,39000
COUNTY,38775
VILLAGE,38775
SCHOOL,36945
COUNTY,29575
VILLAGE,29575
SCHOOL,29575
COUNTY,27140
VILLAGE,27140
SCHOOL,28150
COUNTY,33400
VILLAGE,33400
SCHOOL,33400
COUNTY,15492
VILLAGE,15492
SCHOOL,15345
COUNTY,17100
VILLAGE,17100
SCHOOL,15270
COUNTY,14700
VILLAGE,14700
SCHOOL,14700
COUNTY,20500
VILLAGE,20500
SCHOOL,20500
COUNTY,28500
VILLAGE,28500
SCHOOL,28500
COUNTY,20990
VILLAGE,20990
SCHOOL,20170
COUNTY,28500
VILLAGE,28500
SCHOOL,28500
COUNTY,23750
VILLAGE,23750
SCHOOL,21920
COUNTY,21550
VILLAGE,21550
SCHOOL,21550
COUNTY,19875
VILLAGE,19875
SCHOOL,18045
COUNTY,28550
VILLAGE,28550
SCHOOL,28550
COUNTY,24785
VILLAGE,24785
SCHOOL,24785
COUNTY,16200
VILLAGE,16200
SCHOOL,16200
COUNTY,29900
VILLAGE,29900
SCHOOL,29900
COUNTY,32175
VILLAGE,32175
SCHOOL,30345
COUNTY,42675
VILLAGE,42675
SCHOOL,42675
COUNTY,32150
VILLAGE,32150
SCHOOL,30320
COUNTY,17400
VILLAGE,17400
SCHOOL,15570
COUNTY,21200
VILLAGE,21200
SCHOOL,19370
COUNTY,55525
VILLAGE,55525
SCHOOL,55525
COUNTY,18200
VILLAGE,18200
SCHOOL,18200
COUNTY,45200
VILLAGE,45200
SCHOOL,45200
COUNTY,32450
VILLAGE,32450
SCHOOL,32450
COUNTY,32700
VILLAGE,32700
SCHOOL,32700
COUNTY,22650
VILLAGE,22650
SCHOOL,22650
COUNTY,27000
VILLAGE,27000
SCHOOL,27000
COUNTY,1300
VILLAGE,1300
SCHOOL,1300
COUNTY,4200
VILLAGE,4200
SCHOOL,4200
COUNTY,19000
VILLAGE,19000
SCHOOL,17170
COUNTY,25450
VILLAGE,25450
SCHOOL,25450
COUNTY,18575
VILLAGE,18575
SCHOOL,18575
COUNTY,23300
VILLAGE,23300
SCHOOL,23300
COUNTY,21300
VILLAGE,21300
SCHOOL,21070
COUNTY,25475
VILLAGE,25475
SCHOOL,23645
COUNTY,32175
VILLAGE,32175
SCHOOL,32175
COUNTY,16217
VILLAGE,16217
SCHOOL,16070
COUNTY,30175
VILLAGE,30175
SCHOOL,30175
COUNTY,21125
VILLAGE,21125
SCHOOL,19295
COUNTY,17000
VILLAGE,17000
SCHOOL,17000
COUNTY,25975
VILLAGE,25975
SCHOOL,24145
COUNTY,36100
VILLAGE,36100
SCHOOL,36100
COUNTY,38575
VILLAGE,38575
SCHOOL,38575
COUNTY,24225
VILLAGE,24225
SCHOOL,24225
COUNTY,23500
VILLAGE,23500
SCHOOL,21670
COUNTY,28450
VILLAGE,28450
SCHOOL,26620
COUNTY,17600
VILLAGE,17600
SCHOOL,15770
COUNTY,28500
VILLAGE,28500
SCHOOL,26670
COUNTY,98750
VILLAGE,98750
SCHOOL,98750
COUNTY,36800
VILLAGE,36800
SCHOOL,34970
COUNTY,29500
VILLAGE,29500
SCHOOL,27670
COUNTY,24725
VILLAGE,24725
SCHOOL,24725
COUNTY,24200
VILLAGE,24200
SCHOOL,24200
COUNTY,38225
VILLAGE,38225
SCHOOL,38225
COUNTY,35500
VILLAGE,35500
SCHOOL,35500
COUNTY,33925
VILLAGE,33925
SCHOOL,33925
COUNTY,23600
VILLAGE,23600
SCHOOL,23600
COUNTY,43000
VILLAGE,43000
SCHOOL,43000
COUNTY,52800
VILLAGE,52800
SCHOOL,52800
COUNTY,15600
VILLAGE,15600
SCHOOL,13770
COUNTY,33000
VILLAGE,33000
SCHOOL,33000
COUNTY,14000
VILLAGE,14000
SCHOOL,14000
COUNTY,21475
VILLAGE,21475
SCHOOL,17685
COUNTY,41675
VILLAGE,41675
SCHOOL,41675
COUNTY,41950
VILLAGE,41950
SCHOOL,41950
COUNTY,25175
VILLAGE,25175
SCHOOL,25175
COUNTY,28350
VILLAGE,28350
SCHOOL,28350
COUNTY,56320
VILLAGE,56320
SCHOOL,56320
COUNTY,36950
VILLAGE,36950
SCHOOL,36950
COUNTY,39450
VILLAGE,39450
SCHOOL,39450
COUNTY,31000
VILLAGE,31000
SCHOOL,31000
COUNTY,61600
VILLAGE,61600
SCHOOL,61600
COUNTY,12150
VILLAGE,12150
SCHOOL,12150
COUNTY,28825
VILLAGE,28825
SCHOOL,26995
COUNTY,23350
VILLAGE,23350
SCHOOL,23350
COUNTY,13100
VILLAGE,13100
SCHOOL,11270
COUNTY,34655
VILLAGE,34655
SCHOOL,34655
COUNTY,16700
VILLAGE,16700
SCHOOL,16700
COUNTY,23275
VILLAGE,23275
SCHOOL,21445
COUNTY,21450
VILLAGE,21450
SCHOOL,23200
COUNTY,14400
VILLAGE,14400
SCHOOL,10610
COUNTY,22700
VILLAGE,22700
SCHOOL,22700
COUNTY,17150
VILLAGE,17150
SCHOOL,15320
COUNTY,22900
VILLAGE,22900
SCHOOL,21070
COUNTY,12000
VILLAGE,12000
SCHOOL,10170
COUNTY,2700
VILLAGE,2700
SCHOOL,2700
COUNTY,12300
VILLAGE,12300
SCHOOL,12300
COUNTY,17100
VILLAGE,17100
SCHOOL,15270
COUNTY,22450
VILLAGE,22450
SCHOOL,20620
COUNTY,21800
VILLAGE,21800
SCHOOL,21800
COUNTY,19300
VILLAGE,19300
SCHOOL,19300
COUNTY,19442
VILLAGE,19442
SCHOOL,19295
COUNTY,43100
VILLAGE,43100
SCHOOL,41270
COUNTY,29925
VILLAGE,29925
SCHOOL,29925
COUNTY,10400
VILLAGE,10400
SCHOOL,11610
COUNTY,27525
VILLAGE,27525
SCHOOL,27525
COUNTY,21000
VILLAGE,21000
SCHOOL,21000
COUNTY,15400
VILLAGE,15400
SCHOOL,13570
COUNTY,20900
VILLAGE,20900
SCHOOL,19070
COUNTY,16317
VILLAGE,16317
SCHOOL,16170
COUNTY,17800
VILLAGE,17800
SCHOOL,17800
COUNTY,34930
VILLAGE,34930
SCHOOL,34930
COUNTY,14825
VILLAGE,14825
SCHOOL,14825
COUNTY,19425
VILLAGE,19425
SCHOOL,17595
COUNTY,15400
VILLAGE,15400
SCHOOL,13570
COUNTY,53200
VILLAGE,53200
SCHOOL,53200
COUNTY,19000
VILLAGE,19000
SCHOOL,19000
COUNTY,17300
VILLAGE,17300
SCHOOL,15470
COUNTY,38075
VILLAGE,38075
SCHOOL,38075
COUNTY,17875
VILLAGE,17875
SCHOOL,16045
COUNTY,31675
VILLAGE,31675
SCHOOL,31675
COUNTY,26975
VILLAGE,26975
SCHOOL,25145
COUNTY,102700
VILLAGE,102700
SCHOOL,102700
COUNTY,29400
VILLAGE,29400
SCHOOL,29400
COUNTY,56100
VILLAGE,56100
SCHOOL,56100
COUNTY,30425
VILLAGE,30425
SCHOOL,28595
COUNTY,32235
VILLAGE,32235
SCHOOL,32235
COUNTY,25975
VILLAGE,25975
SCHOOL,24145
COUNTY,25600
VILLAGE,25600
SCHOOL,25600
COUNTY,23025
VILLAGE,23025
SCHOOL,23025
COUNTY,25350
VILLAGE,25350
SCHOOL,25350
COUNTY,23575
VILLAGE,23575
SCHOOL,21745
COUNTY,27500
VILLAGE,27500
SCHOOL,27500
COUNTY,31600
VILLAGE,31600
SCHOOL,31600
COUNTY,28280
VILLAGE,28280
SCHOOL,26450
COUNTY,5200
VILLAGE,5200
SCHOOL,5200
COUNTY,25750
VILLAGE,25750
SCHOOL,25750
COUNTY,37700
VILLAGE,37700
SCHOOL,37700
COUNTY,24650
VILLAGE,24650
SCHOOL,24650
COUNTY,23750
VILLAGE,23750
SCHOOL,23750
COUNTY,21350
VILLAGE,21350
SCHOOL,19520
COUNTY,18740
VILLAGE,18740
